TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.71,578.28,1.51,545.24
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,578.51,0.54,507.68
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,590.09,2.75,537.08
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.61,602.22,1.53,484.20
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.45,569.74,3.01,548.79
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.48,577.84,1.01,542.89
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.50,590.08,5.35,552.40
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.38,534.11,2.80,527.08
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.78,592.57,5.91,557.74
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.95,577.94,2.02,544.27
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,4.94,597.92,10.75,549.61
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.71,544.66,5.61,527.09
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.27,541.71,2.61,526.56
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.89,617.20,2.07,530.33
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.32,608.96,14.69,523.92
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.68,522.43,7.08,543.60
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.34,587.27,5.02,547.16
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.90,578.62,3.99,551.75
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.80,601.41,28.98,531.08
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,7.64,504.03,14.02,548.92
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.53,606.44,10.28,534.86
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.59,611.92,8.25,533.17
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,25.78,597.18,55.77,552.02
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.58,566.61,28.20,545.87
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.72,569.14,1.64,502.42
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,566.90,1.04,530.41
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.28,586.04,7.01,548.88
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.79,537.21,3.48,552.33
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.49,553.37,3.33,495.99
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.97,565.83,2.07,532.15
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.63,580.49,14.07,547.17
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.75,512.62,6.90,557.81
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,2.88,573.57,6.82,483.88
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.89,582.04,3.95,556.07
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,13.28,579.50,26.48,581.29
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,6.94,554.52,14.11,545.42
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.74,566.28,18.16,544.91
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.58,580.35,15.85,555.02
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,48.10,594.36,109.15,523.80
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,25.13,568.82,52.13,548.34
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,17.67,559.98,36.08,548.61
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.39,571.39,31.51,558.22
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,95.91,596.16,222.92,512.96
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,50.69,563.93,102.71,556.64
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,34.44,574.66,72.26,547.80
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,30.05,585.52,62.97,558.71
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,191.47,597.21,451.85,506.14
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,98.51,580.39,208.54,548.34
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.45,602.69,1.04,522.51
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.41,518.60,0.88,477.93
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.90,570.85,8.77,507.15
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.43,458.61,4.17,533.38
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.90,601.40,1.94,558.49
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.70,605.01,1.63,517.49
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,7.79,571.13,15.31,581.21
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.90,569.84,8.47,525.18
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.87,578.26,3.92,551.99
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.50,562.10,3.30,510.12
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,15.52,573.53,31.43,566.25
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.82,568.68,17.69,503.13
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.37,579.74,5.09,540.09
