TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.63,576.70,16.00,549.73
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,48.57,588.57,109.33,522.97
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,25.24,566.37,52.02,549.57
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,17.60,562.40,36.06,548.90
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.43,570.13,31.44,559.49
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,95.86,596.44,223.21,512.29
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,50.56,565.44,101.91,561.04
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,34.17,579.15,71.92,550.33
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,29.79,590.58,62.53,562.67
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,190.67,599.71,448.02,510.46
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,97.56,586.02,206.60,553.49
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.45,605.23,1.03,526.08
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.40,520.89,0.87,481.58
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.86,576.10,8.72,510.18
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.42,460.25,4.15,536.60
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.90,604.37,1.93,560.29
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.69,608.97,1.62,518.75
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,7.74,574.52,15.17,586.59
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.88,573.14,8.40,529.74
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.86,581.88,3.90,555.46
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.49,563.31,3.29,512.17
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,15.44,576.42,31.41,566.67
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.81,569.90,17.57,506.57
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.36,582.19,5.09,539.99
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,bf16,PASS,1.91,575.84,4.03,545.44
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,bf16,PASS,13.31,596.43,30.11,527.26
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,bf16,PASS,6.84,580.21,14.93,531.56
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,bf16,PASS,4.59,599.36,10.35,531.42
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,bf16,PASS,3.64,604.52,8.32,528.68
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,bf16,PASS,26.46,599.93,57.70,550.23
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,bf16,PASS,12.78,621.12,29.73,533.91
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,bf16,PASS,9.11,603.56,20.70,531.06
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,bf16,PASS,7.72,569.59,16.55,531.50
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,bf16,PASS,53.62,592.13,120.06,528.88
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,bf16,PASS,26.72,594.13,59.20,536.29
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,bf16,PASS,0.45,456.66,0.86,478.08
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,bf16,PASS,0.24,569.34,0.55,501.14
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,bf16,PASS,1.65,581.63,3.59,535.66
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,bf16,PASS,0.81,595.12,1.80,534.07
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,bf16,PASS,0.73,568.40,1.64,502.73
78,ROCm,MI300X,Mistral-7B,2,8192,4096,4096,bf16,PASS,0.48,569.72,1.03,532.39
79,ROCm,MI300X,Mistral-7B,2,8192,28672,4096,bf16,PASS,3.29,585.08,7.01,548.80
80,ROCm,MI300X,Mistral-7B,2,8192,4096,14336,bf16,PASS,1.81,530.70,3.50,549.08
81,ROCm,MI300X,Mistral-7B,4,16384,6144,4096,bf16,PASS,1.49,552.50,3.32,497.27
82,ROCm,MI300X,Mistral-7B,4,16384,4096,4096,bf16,PASS,0.97,568.01,2.06,533.32
83,ROCm,MI300X,Mistral-7B,4,16384,28672,4096,bf16,PASS,6.61,582.45,14.01,549.30
84,ROCm,MI300X,Mistral-7B,4,16384,4096,14336,bf16,PASS,3.75,512.81,6.88,559.70
