TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.71,580.71,1.51,547.14
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,577.37,0.54,508.06
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,592.95,2.74,539.04
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.61,603.21,1.52,485.73
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.45,568.01,3.01,548.42
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.47,581.21,1.01,544.84
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.49,592.68,5.34,553.72
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.38,536.81,2.79,530.21
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.78,592.34,5.91,558.44
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.95,580.73,2.01,546.36
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,4.94,598.13,10.71,551.95
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.71,545.86,5.60,528.11
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.26,543.98,2.60,527.93
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.89,618.13,2.07,531.84
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.35,606.26,14.63,526.06
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.67,524.03,7.10,542.35
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.33,589.24,5.02,547.52
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.90,580.14,3.99,551.19
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.73,604.64,28.88,533.06
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,7.65,503.32,14.02,549.12
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.52,607.92,10.28,534.68
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.59,612.32,8.22,534.84
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,25.63,600.63,55.60,553.72
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.56,567.58,28.11,547.64
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.73,567.70,1.64,502.17
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,568.13,1.04,528.92
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.29,584.79,7.01,548.77
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.80,535.02,3.49,551.10
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.49,553.31,3.32,496.82
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.97,565.97,2.06,532.85
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.65,578.35,14.09,546.06
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.75,513.18,6.92,556.40
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,2.89,571.49,6.87,479.99
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.89,580.39,3.97,553.90
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,13.36,576.26,26.62,578.18
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,6.97,552.21,14.08,546.47
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.76,564.80,18.11,546.46
