TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,DeepSeek-V3-GateUP,8,512,4096,7168,bf16,PASS,0.51,467.07,1.50,320.82
2,ROCm,MI300X,DeepSeek-V3-Down,8,512,7168,2048,bf16,PASS,0.28,422.98,0.85,284.17
3,ROCm,MI300X,DeepSeek-V3-GateUP,8,1024,4096,7168,bf16,PASS,0.98,490.42,2.30,418.22
4,ROCm,MI300X,DeepSeek-V3-Down,8,1024,7168,2048,bf16,PASS,0.48,497.73,1.15,416.89
5,ROCm,MI300X,DeepSeek-V3-GateUP,8,2048,4096,7168,bf16,PASS,1.91,504.92,3.92,490.75
6,ROCm,MI300X,DeepSeek-V3-Down,8,2048,7168,2048,bf16,PASS,0.93,515.96,1.99,482.79
7,ROCm,MI300X,DeepSeek-V3-GateUP,8,4096,4096,7168,bf16,PASS,3.41,564.33,7.47,515.05
8,ROCm,MI300X,DeepSeek-V3-Down,8,4096,7168,2048,bf16,PASS,1.81,530.38,3.69,521.00
9,ROCm,MI300X,DeepSeek-V3-GateUP,8,8192,4096,7168,bf16,PASS,6.69,575.37,14.36,536.03
10,ROCm,MI300X,DeepSeek-V3-Down,8,8192,7168,2048,bf16,PASS,3.49,551.55,6.95,554.09
11,ROCm,MI300X,DeepSeek-V3-GateUP,8,16384,4096,7168,bf16,PASS,13.15,585.18,29.02,530.38
12,ROCm,MI300X,DeepSeek-V3-Down,8,16384,7168,2048,bf16,PASS,7.02,548.49,13.85,555.67
13,ROCm,MI300X,DeepSeek-V3-GateUP,16,512,4096,7168,bf16,PASS,1.03,465.79,3.01,319.49
14,ROCm,MI300X,DeepSeek-V3-Down,16,512,7168,2048,bf16,PASS,0.53,449.96,1.52,317.41
15,ROCm,MI300X,DeepSeek-V3-GateUP,16,1024,4096,7168,bf16,PASS,1.98,484.72,4.75,405.14
16,ROCm,MI300X,DeepSeek-V3-Down,16,1024,7168,2048,bf16,PASS,1.00,481.12,2.35,409.69
17,ROCm,MI300X,DeepSeek-V3-GateUP,16,2048,4096,7168,bf16,PASS,3.55,542.64,8.23,467.56
18,ROCm,MI300X,DeepSeek-V3-Down,16,2048,7168,2048,bf16,PASS,1.87,513.55,4.06,474.08
