TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
19,ROCm,MI300X,DeepSeek-V3-GateUP,16,4096,4096,7168,bf16,PASS,6.87,560.21,15.53,495.46
20,ROCm,MI300X,DeepSeek-V3-Down,16,4096,7168,2048,bf16,PASS,3.67,524.50,7.50,513.05
21,ROCm,MI300X,DeepSeek-V3-GateUP,16,8192,4096,7168,bf16,PASS,13.39,574.89,29.71,518.06
22,ROCm,MI300X,DeepSeek-V3-Down,16,8192,7168,2048,bf16,PASS,7.08,543.82,14.72,522.80
23,ROCm,MI300X,DeepSeek-V3-GateUP,16,16384,4096,7168,bf16,PASS,26.63,577.98,63.26,486.69
24,ROCm,MI300X,DeepSeek-V3-Down,16,16384,7168,2048,bf16,PASS,14.32,537.40,29.20,527.09
25,ROCm,MI300X,DeepSeek-V3-GateUP,32,512,4096,7168,bf16,PASS,2.09,459.51,6.20,310.30
26,ROCm,MI300X,DeepSeek-V3-Down,32,512,7168,2048,bf16,PASS,1.08,446.98,3.11,309.54
27,ROCm,MI300X,DeepSeek-V3-GateUP,32,1024,4096,7168,bf16,PASS,3.71,519.16,9.77,393.81
28,ROCm,MI300X,DeepSeek-V3-Down,32,1024,7168,2048,bf16,PASS,2.02,477.02,4.91,391.64
29,ROCm,MI300X,DeepSeek-V3-GateUP,32,2048,4096,7168,bf16,PASS,7.20,534.75,17.23,446.76
30,ROCm,MI300X,DeepSeek-V3-Down,32,2048,7168,2048,bf16,PASS,3.77,509.83,8.47,454.09
31,ROCm,MI300X,DeepSeek-V3-GateUP,32,4096,4096,7168,bf16,PASS,13.76,559.40,31.72,485.22
32,ROCm,MI300X,DeepSeek-V3-Down,32,4096,7168,2048,bf16,PASS,7.42,518.45,15.86,485.42
33,ROCm,MI300X,DeepSeek-V3-GateUP,32,8192,4096,7168,bf16,PASS,27.13,567.48,64.45,477.67
34,ROCm,MI300X,DeepSeek-V3-Down,32,8192,7168,2048,bf16,PASS,14.44,532.89,30.24,509.03
35,ROCm,MI300X,DeepSeek-V3-GateUP,32,16384,4096,7168,bf16,PASS,53.78,572.46,130.07,473.38
36,ROCm,MI300X,DeepSeek-V3-Down,32,16384,7168,2048,bf16,PASS,28.87,533.25,62.36,493.70
37,ROCm,MI300X,DeepSeek-V2-GateUP,5,512,3072,5120,bf16,PASS,0.24,339.29,0.54,296.23
38,ROCm,MI300X,DeepSeek-V2-Down,5,512,5120,1536,bf16,PASS,0.10,414.99,0.38,210.47
39,ROCm,MI300X,DeepSeek-V2-GateUP,5,1024,3072,5120,bf16,PASS,0.30,535.18,0.88,365.76
40,ROCm,MI300X,DeepSeek-V2-Down,5,1024,5120,1536,bf16,PASS,0.20,405.12,0.49,325.46
41,ROCm,MI300X,DeepSeek-V2-GateUP,5,2048,3072,5120,bf16,PASS,0.70,461.06,1.44,448.48
42,ROCm,MI300X,DeepSeek-V2-Down,5,2048,5120,1536,bf16,PASS,0.32,501.62,0.69,468.73
43,ROCm,MI300X,DeepSeek-V2-GateUP,5,4096,3072,5120,bf16,PASS,1.31,493.19,2.72,473.28
44,ROCm,MI300X,DeepSeek-V2-Down,5,4096,5120,1536,bf16,PASS,0.64,502.00,1.34,481.94
45,ROCm,MI300X,DeepSeek-V2-GateUP,5,8192,3072,5120,bf16,PASS,2.39,538.21,5.20,495.81
46,ROCm,MI300X,DeepSeek-V2-Down,5,8192,5120,1536,bf16,PASS,1.30,494.65,2.52,510.31
47,ROCm,MI300X,DeepSeek-V2-GateUP,5,16384,3072,5120,bf16,PASS,4.54,567.62,10.17,506.65
48,ROCm,MI300X,DeepSeek-V2-Down,5,16384,5120,1536,bf16,PASS,2.46,522.75,4.86,529.79
49,ROCm,MI300X,DeepSeek-V2-GateUP,10,512,3072,5120,bf16,PASS,0.38,428.08,1.09,294.57
50,ROCm,MI300X,DeepSeek-V2-Down,10,512,5120,1536,bf16,PASS,0.20,395.81,0.60,270.19
51,ROCm,MI300X,DeepSeek-V2-GateUP,10,1024,3072,5120,bf16,PASS,0.72,447.84,1.69,382.28
52,ROCm,MI300X,DeepSeek-V2-Down,10,1024,5120,1536,bf16,PASS,0.34,473.44,0.82,394.59
53,ROCm,MI300X,DeepSeek-V2-GateUP,10,2048,3072,5120,bf16,PASS,1.36,474.88,2.98,431.93
54,ROCm,MI300X,DeepSeek-V2-Down,10,2048,5120,1536,bf16,PASS,0.71,451.86,1.44,446.17
55,ROCm,MI300X,DeepSeek-V2-GateUP,10,4096,3072,5120,bf16,PASS,2.44,527.08,5.42,475.53
56,ROCm,MI300X,DeepSeek-V2-Down,10,4096,5120,1536,bf16,PASS,1.33,483.34,2.66,484.71
57,ROCm,MI300X,DeepSeek-V2-GateUP,10,8192,3072,5120,bf16,PASS,4.64,555.33,10.46,492.81
58,ROCm,MI300X,DeepSeek-V2-Down,10,8192,5120,1536,bf16,PASS,2.55,505.39,4.93,522.35
59,ROCm,MI300X,DeepSeek-V2-GateUP,10,16384,3072,5120,bf16,PASS,9.10,566.17,20.45,504.16
60,ROCm,MI300X,DeepSeek-V2-Down,10,16384,5120,1536,bf16,PASS,4.90,525.57,9.71,530.85
61,ROCm,MI300X,DeepSeek-V2-GateUP,20,512,3072,5120,bf16,PASS,0.75,427.19,2.12,304.30
62,ROCm,MI300X,DeepSeek-V2-Down,20,512,5120,1536,bf16,PASS,0.39,409.37,1.06,303.32
63,ROCm,MI300X,DeepSeek-V2-GateUP,20,1024,3072,5120,bf16,PASS,1.39,462.80,3.37,382.12
64,ROCm,MI300X,DeepSeek-V2-Down,20,1024,5120,1536,bf16,PASS,0.74,436.50,1.69,381.16
65,ROCm,MI300X,DeepSeek-V2-GateUP,20,2048,3072,5120,bf16,PASS,2.54,506.65,5.91,435.93
66,ROCm,MI300X,DeepSeek-V2-Down,20,2048,5120,1536,bf16,PASS,1.38,467.70,2.97,433.70
67,ROCm,MI300X,DeepSeek-V2-GateUP,20,4096,3072,5120,bf16,PASS,4.75,542.99,10.88,473.76
68,ROCm,MI300X,DeepSeek-V2-Down,20,4096,5120,1536,bf16,PASS,2.62,491.04,5.46,471.55
69,ROCm,MI300X,DeepSeek-V2-GateUP,20,8192,3072,5120,bf16,PASS,9.20,560.46,21.17,486.80
70,ROCm,MI300X,DeepSeek-V2-Down,20,8192,5120,1536,bf16,PASS,5.10,505.44,10.18,506.40
71,ROCm,MI300X,DeepSeek-V2-GateUP,20,16384,3072,5120,bf16,PASS,18.15,567.83,41.49,496.88
72,ROCm,MI300X,DeepSeek-V2-Down,20,16384,5120,1536,bf16,PASS,9.83,524.31,20.77,496.26
73,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,512,2816,2048,bf16,PASS,0.10,120.28,0.24,98.05
74,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,512,2048,1408,bf16,PASS,0.08,70.18,0.24,49.28
75,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,1024,2816,2048,bf16,PASS,0.10,239.97,0.24,193.01
76,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,1024,2048,1408,bf16,PASS,0.09,137.77,0.24,98.72
77,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,2048,2816,2048,bf16,PASS,0.12,397.81,0.28,332.54
78,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,2048,2048,1408,bf16,PASS,0.09,277.57,0.24,198.51
79,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,4096,2816,2048,bf16,PASS,0.26,368.85,0.44,429.45
80,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,4096,2048,1408,bf16,PASS,0.10,461.32,0.33,290.17
81,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,8192,2816,2048,bf16,PASS,0.39,482.40,0.84,451.08
82,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,8192,2048,1408,bf16,PASS,0.19,484.71,0.63,298.15
83,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,16384,2816,2048,bf16,PASS,0.75,502.23,1.68,450.90
84,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,16384,2048,1408,bf16,PASS,0.37,511.09,1.17,323.09
85,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,512,2816,2048,bf16,PASS,0.10,238.51,0.25,187.21
86,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,512,2048,1408,bf16,PASS,0.08,140.05,0.24,97.48
87,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,1024,2816,2048,bf16,PASS,0.12,393.58,0.33,285.07
88,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,1024,2048,1408,bf16,PASS,0.08,278.90,0.24,193.72
89,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,2048,2816,2048,bf16,PASS,0.26,368.26,0.49,384.40
90,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,2048,2048,1408,bf16,PASS,0.10,464.22,0.28,332.36
91,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,4096,2816,2048,bf16,PASS,0.40,476.40,0.91,414.09
92,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,4096,2048,1408,bf16,PASS,0.19,490.88,0.53,356.07
93,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,8192,2816,2048,bf16,PASS,0.76,499.36,1.75,430.86
94,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,8192,2048,1408,bf16,PASS,0.37,510.68,0.94,399.99
95,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,16384,2816,2048,bf16,PASS,1.53,493.26,3.38,446.91
96,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,16384,2048,1408,bf16,PASS,0.71,530.62,1.84,410.00
97,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,512,2816,2048,bf16,PASS,0.13,375.13,0.36,260.81
98,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,512,2048,1408,bf16,PASS,0.09,275.75,0.24,194.36
99,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,1024,2816,2048,bf16,PASS,0.26,366.47,0.51,370.23
100,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,1024,2048,1408,bf16,PASS,0.10,465.12,0.33,287.53
101,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,2048,2816,2048,bf16,PASS,0.40,473.91,0.90,421.47
102,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,2048,2048,1408,bf16,PASS,0.19,487.03,0.59,322.62
103,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,4096,2816,2048,bf16,PASS,0.78,483.97,1.68,450.55
104,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,4096,2048,1408,bf16,PASS,0.37,507.34,1.01,375.64
105,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,8192,2816,2048,bf16,PASS,1.55,487.79,3.13,483.64
106,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,8192,2048,1408,bf16,PASS,0.73,518.14,1.92,394.07
107,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,16384,2816,2048,bf16,PASS,2.98,508.07,6.22,485.75
108,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,16384,2048,1408,bf16,PASS,1.45,522.83,3.72,406.71
