TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,fp8,tensorwise,PASS,0.56,737.63,1.10,746.36
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,fp8,tensorwise,PASS,0.21,662.51,0.41,664.21
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,fp8,tensorwise,PASS,0.95,776.89,1.94,761.28
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,fp8,tensorwise,PASS,0.50,735.17,1.08,681.35
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,fp8,tensorwise,PASS,1.02,809.81,2.08,793.16
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,fp8,tensorwise,PASS,0.39,707.88,0.76,725.05
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,fp8,tensorwise,PASS,1.80,822.19,3.64,812.49
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,fp8,tensorwise,PASS,0.95,774.97,1.96,752.20
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,fp8,tensorwise,PASS,1.94,849.22,4.08,807.62
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,fp8,tensorwise,PASS,0.72,760.48,1.46,751.59
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,fp8,tensorwise,PASS,3.41,865.46,7.21,819.69
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,fp8,tensorwise,PASS,1.81,815.64,3.83,772.15
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,fp8,tensorwise,PASS,0.99,695.03,1.80,762.90
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,fp8,tensorwise,PASS,0.73,754.79,1.46,752.32
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,fp8,tensorwise,PASS,4.74,812.23,9.79,786.30
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,fp8,tensorwise,PASS,2.55,754.36,4.83,797.51
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,fp8,tensorwise,PASS,1.64,838.27,3.35,819.52
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,fp8,tensorwise,PASS,1.34,818.05,2.71,812.95
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,fp8,tensorwise,PASS,9.04,851.55,18.38,837.42
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,fp8,tensorwise,PASS,4.64,828.65,9.06,849.25
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,fp8,tensorwise,PASS,3.06,896.84,6.40,858.74
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,fp8,tensorwise,PASS,2.47,889.25,5.13,857.49
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,fp8,tensorwise,PASS,17.72,868.45,35.17,875.30
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,fp8,tensorwise,PASS,9.26,830.72,17.79,865.51
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,fp8,tensorwise,PASS,0.56,739.43,1.20,686.05
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,fp8,tensorwise,PASS,0.40,695.86,0.77,715.57
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,fp8,tensorwise,PASS,2.19,878.31,4.77,807.15
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,fp8,tensorwise,PASS,1.27,754.68,2.39,804.53
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,fp8,tensorwise,PASS,1.05,786.21,2.34,705.96
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,fp8,tensorwise,PASS,0.74,745.93,1.49,738.75
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,fp8,tensorwise,PASS,4.23,909.92,9.42,816.64
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,fp8,tensorwise,PASS,2.43,792.29,4.62,833.27
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,fp8,tensorwise,PASS,2.06,802.44,4.62,713.95
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,fp8,tensorwise,PASS,1.39,790.35,2.86,769.47
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,fp8,tensorwise,PASS,8.69,885.44,18.57,828.78
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,fp8,tensorwise,PASS,4.68,821.67,9.44,814.99
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,fp8,tensorwise,PASS,5.85,845.83,11.93,829.40
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,fp8,tensorwise,PASS,5.17,850.47,10.44,842.22
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,fp8,tensorwise,PASS,33.39,856.20,67.50,847.02
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,fp8,tensorwise,PASS,17.73,806.06,33.46,854.28
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,fp8,tensorwise,PASS,11.61,851.99,23.56,839.98
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,fp8,tensorwise,PASS,10.01,878.42,20.64,852.47
