TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
45,ROCm,MI300X,DeepSeek-V2-GateUP,5,8192,3072,5120,bf16,PASS,3.26,395.04,5.89,437.53
46,ROCm,MI300X,DeepSeek-V2-Down,5,8192,5120,1536,bf16,PASS,1.65,389.83,3.24,397.76
47,ROCm,MI300X,DeepSeek-V2-GateUP,5,16384,3072,5120,bf16,PASS,5.44,473.66,10.53,489.28
48,ROCm,MI300X,DeepSeek-V2-Down,5,16384,5120,1536,bf16,PASS,2.59,497.79,7.09,363.23
49,ROCm,MI300X,DeepSeek-V2-GateUP,10,512,3072,5120,bf16,PASS,1.94,83.18,1.33,242.65
50,ROCm,MI300X,DeepSeek-V2-Down,10,512,5120,1536,bf16,PASS,0.27,294.16,1.33,121.34
51,ROCm,MI300X,DeepSeek-V2-GateUP,10,1024,3072,5120,bf16,PASS,1.88,171.23,2.44,264.12
52,ROCm,MI300X,DeepSeek-V2-Down,10,1024,5120,1536,bf16,PASS,0.57,280.42,2.37,135.91
53,ROCm,MI300X,DeepSeek-V2-GateUP,10,2048,3072,5120,bf16,PASS,2.67,241.46,3.49,369.12
54,ROCm,MI300X,DeepSeek-V2-Down,10,2048,5120,1536,bf16,PASS,1.03,313.42,2.77,232.86
55,ROCm,MI300X,DeepSeek-V2-GateUP,10,4096,3072,5120,bf16,PASS,3.43,375.81,6.33,406.92
56,ROCm,MI300X,DeepSeek-V2-Down,10,4096,5120,1536,bf16,PASS,1.66,389.25,4.22,305.00
57,ROCm,MI300X,DeepSeek-V2-GateUP,10,8192,3072,5120,bf16,PASS,7.01,367.52,12.02,428.79
58,ROCm,MI300X,DeepSeek-V2-Down,10,8192,5120,1536,bf16,PASS,3.31,388.89,6.55,393.27
59,ROCm,MI300X,DeepSeek-V2-GateUP,10,16384,3072,5120,bf16,PASS,10.76,478.89,21.22,485.71
60,ROCm,MI300X,DeepSeek-V2-Down,10,16384,5120,1536,bf16,PASS,5.22,493.81,14.33,359.55
61,ROCm,MI300X,DeepSeek-V2-GateUP,20,512,3072,5120,bf16,PASS,3.99,80.69,2.70,238.56
62,ROCm,MI300X,DeepSeek-V2-Down,20,512,5120,1536,bf16,PASS,0.66,244.64,2.85,113.17
63,ROCm,MI300X,DeepSeek-V2-GateUP,20,1024,3072,5120,bf16,PASS,3.78,170.35,5.13,251.23
64,ROCm,MI300X,DeepSeek-V2-Down,20,1024,5120,1536,bf16,PASS,1.31,246.00,4.87,132.22
65,ROCm,MI300X,DeepSeek-V2-GateUP,20,2048,3072,5120,bf16,PASS,5.36,240.54,6.80,378.78
66,ROCm,MI300X,DeepSeek-V2-Down,20,2048,5120,1536,bf16,PASS,2.07,310.74,5.74,224.49
67,ROCm,MI300X,DeepSeek-V2-GateUP,20,4096,3072,5120,bf16,PASS,7.08,363.77,12.86,400.88
68,ROCm,MI300X,DeepSeek-V2-Down,20,4096,5120,1536,bf16,PASS,3.47,371.11,8.54,301.80
69,ROCm,MI300X,DeepSeek-V2-GateUP,20,8192,3072,5120,bf16,PASS,13.78,374.12,24.21,425.82
70,ROCm,MI300X,DeepSeek-V2-Down,20,8192,5120,1536,bf16,PASS,6.71,384.30,13.39,385.03
71,ROCm,MI300X,DeepSeek-V2-GateUP,20,16384,3072,5120,bf16,PASS,21.45,480.58,43.67,472.04
72,ROCm,MI300X,DeepSeek-V2-Down,20,16384,5120,1536,bf16,PASS,10.54,488.80,29.30,351.86
73,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,512,2816,2048,bf16,PASS,0.09,135.76,0.21,113.13
74,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,512,2048,1408,bf16,PASS,0.09,68.13,0.21,57.43
75,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,1024,2816,2048,bf16,PASS,0.09,270.27,0.21,227.34
76,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,1024,2048,1408,bf16,PASS,0.09,135.02,0.21,114.57
77,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,2048,2816,2048,bf16,PASS,0.15,311.02,0.27,349.61
78,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,2048,2048,1408,bf16,PASS,0.09,270.90,0.21,230.08
79,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,4096,2816,2048,bf16,PASS,0.23,416.83,0.60,316.71
80,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,4096,2048,1408,bf16,PASS,0.11,434.37,0.36,259.12
81,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,8192,2816,2048,bf16,PASS,0.47,402.37,1.07,354.73
82,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,8192,2048,1408,bf16,PASS,0.18,518.09,0.65,289.65
83,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,16384,2816,2048,bf16,PASS,0.87,436.42,2.14,353.66
84,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,16384,2048,1408,bf16,PASS,0.36,524.73,1.30,291.47
85,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,512,2816,2048,bf16,PASS,0.10,236.44,0.25,191.01
86,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,512,2048,1408,bf16,PASS,0.09,136.23,0.21,113.63
87,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,1024,2816,2048,bf16,PASS,0.15,313.98,0.34,275.18
88,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,1024,2048,1408,bf16,PASS,0.09,264.84,0.22,214.73
89,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,2048,2816,2048,bf16,PASS,0.32,292.50,0.53,356.10
90,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,2048,2048,1408,bf16,PASS,0.13,373.24,0.34,275.11
91,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,4096,2816,2048,bf16,PASS,0.45,415.60,1.22,310.22
92,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,4096,2048,1408,bf16,PASS,0.21,453.45,0.71,266.10
93,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,8192,2816,2048,bf16,PASS,0.97,390.22,2.19,344.81
94,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,8192,2048,1408,bf16,PASS,0.36,529.25,1.33,283.29
95,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,16384,2816,2048,bf16,PASS,1.87,403.32,4.55,332.03
96,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,16384,2048,1408,bf16,PASS,0.74,509.98,2.72,278.19
97,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,512,2816,2048,bf16,PASS,0.20,233.81,0.49,191.70
98,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,512,2048,1408,bf16,PASS,0.13,184.73,0.30,158.92
99,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,1024,2816,2048,bf16,PASS,0.30,314.46,0.70,269.46
100,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,1024,2048,1408,bf16,PASS,0.17,274.61,0.43,217.41
101,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,2048,2816,2048,bf16,PASS,0.63,299.27,1.15,329.46
102,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,2048,2048,1408,bf16,PASS,0.25,376.74,0.69,273.58
103,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,4096,2816,2048,bf16,PASS,1.07,353.81,2.54,297.16
104,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,4096,2048,1408,bf16,PASS,0.41,463.38,1.58,239.11
105,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,8192,2816,2048,bf16,PASS,2.00,378.84,4.65,325.04
106,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,8192,2048,1408,bf16,PASS,0.75,506.20,2.74,275.96
107,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,16384,2816,2048,bf16,PASS,4.11,368.08,8.98,336.53
108,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,16384,2048,1408,bf16,PASS,1.50,502.69,5.61,269.58
