TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.71,583.34,1.51,545.55
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,580.07,0.54,509.31
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,590.43,2.77,534.14
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.62,600.30,1.49,494.82
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.47,561.58,3.00,549.96
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.47,579.28,1.01,542.56
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.62,563.85,5.39,548.70
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.30,567.49,2.79,530.39
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.91,566.22,5.91,558.02
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.94,581.79,2.00,549.13
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,5.17,571.19,10.56,559.69
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.74,539.06,5.63,524.67
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.28,535.09,2.56,537.20
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.89,618.27,2.04,539.18
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.54,588.48,14.86,517.80
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.65,527.57,7.14,538.71
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.39,573.95,4.92,558.28
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.97,557.32,3.94,558.76
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,13.11,586.87,28.46,540.79
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,7.10,542.35,14.02,548.93
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.49,612.85,9.62,571.27
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.49,629.57,7.61,578.14
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,27.34,562.95,55.32,556.53
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.54,568.31,28.12,547.45
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.72,572.21,1.63,505.86
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,573.13,1.03,536.10
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.28,587.29,7.03,547.08
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.81,532.76,3.45,557.25
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.57,526.34,3.29,501.71
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.96,571.62,2.06,533.09
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.63,580.69,13.73,560.50
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.57,538.40,6.84,562.99
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,3.07,537.28,6.66,494.98
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.87,586.85,3.97,554.35
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,14.07,546.93,26.89,572.39
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,6.90,557.63,14.02,548.82
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.85,559.31,18.41,537.59
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.78,565.27,15.98,550.36
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,49.54,577.06,109.04,524.33
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,25.57,559.05,52.83,541.11
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,18.67,530.08,37.45,528.48
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.75,558.42,31.98,550.07
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,100.36,569.69,217.36,526.08
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,51.62,553.78,105.16,543.67
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,37.27,530.97,74.60,530.58
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,30.43,578.17,62.64,561.73
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,210.89,542.23,432.59,528.67
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,99.01,577.45,210.30,543.74
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.45,601.26,1.03,523.53
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.41,515.96,0.88,478.76
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.89,571.89,8.55,520.37
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.40,462.88,4.33,513.88
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.90,599.90,1.97,549.81
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.69,608.30,1.64,513.27
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,8.45,526.77,15.36,579.33
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.91,569.71,8.91,499.44
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.90,568.70,3.91,553.98
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.48,569.08,3.29,511.79
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,16.94,525.30,30.63,581.06
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.82,568.68,18.65,477.05
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.43,565.98,4.97,552.56
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,bf16,PASS,1.99,552.74,3.97,553.89
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,bf16,PASS,13.96,568.44,30.07,527.93
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,bf16,PASS,6.33,626.47,15.17,523.31
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,bf16,PASS,4.53,606.72,9.65,569.63
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,bf16,PASS,3.53,622.35,7.68,572.64
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,bf16,PASS,27.33,580.73,58.42,543.41
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,bf16,PASS,12.68,625.99,30.01,528.99
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,bf16,PASS,8.83,622.84,19.23,571.63
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,bf16,PASS,7.09,620.32,15.31,574.71
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,bf16,PASS,56.73,559.68,120.45,527.18
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,bf16,PASS,25.96,611.59,60.46,525.07
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,bf16,PASS,0.44,470.54,0.87,475.82
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,bf16,PASS,0.24,563.86,0.55,496.83
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,bf16,PASS,1.63,589.97,3.59,535.68
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,bf16,PASS,0.81,596.78,1.80,533.40
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,bf16,PASS,0.72,571.86,1.63,506.19
78,ROCm,MI300X,Mistral-7B,2,8192,4096,4096,bf16,PASS,0.48,571.74,1.02,538.17
79,ROCm,MI300X,Mistral-7B,2,8192,28672,4096,bf16,PASS,3.28,586.40,7.03,547.71
80,ROCm,MI300X,Mistral-7B,2,8192,4096,14336,bf16,PASS,1.81,530.57,3.46,556.36
81,ROCm,MI300X,Mistral-7B,4,16384,6144,4096,bf16,PASS,1.57,526.07,3.29,500.90
82,ROCm,MI300X,Mistral-7B,4,16384,4096,4096,bf16,PASS,0.96,572.66,2.05,535.45
83,ROCm,MI300X,Mistral-7B,4,16384,28672,4096,bf16,PASS,6.58,585.16,13.65,564.00
84,ROCm,MI300X,Mistral-7B,4,16384,4096,14336,bf16,PASS,3.57,538.73,6.82,563.96
