TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI355X,Llama-2-7B,1,4096,12288,4096,fp8,blockwise,PASS,0.31,1322.29,0.88,940.97
2,ROCm,MI355X,Llama-2-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.17,796.52,0.35,780.56
3,ROCm,MI355X,Llama-2-7B,1,4096,22016,4096,fp8,blockwise,PASS,0.57,1294.40,1.58,935.34
4,ROCm,MI355X,Llama-2-7B,1,4096,4096,11008,fp8,blockwise,PASS,0.29,1256.75,0.88,839.62
5,ROCm,MI355X,Llama-2-7B,2,8192,12288,4096,fp8,blockwise,PASS,0.58,1416.04,1.71,966.18
6,ROCm,MI355X,Llama-2-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.21,1282.10,0.60,912.20
7,ROCm,MI355X,Llama-2-7B,2,8192,22016,4096,fp8,blockwise,PASS,1.08,1367.29,3.03,976.25
8,ROCm,MI355X,Llama-2-7B,2,8192,4096,11008,fp8,blockwise,PASS,0.60,1222.88,1.67,885.63
9,ROCm,MI355X,Llama-2-7B,4,16384,12288,4096,fp8,blockwise,PASS,1.19,1389.25,3.29,1003.58
10,ROCm,MI355X,Llama-2-7B,4,16384,4096,4096,fp8,blockwise,PASS,0.42,1303.80,1.25,877.50
11,ROCm,MI355X,Llama-2-7B,4,16384,22016,4096,fp8,blockwise,PASS,2.04,1447.78,5.87,1006.07
12,ROCm,MI355X,Llama-2-7B,4,16384,4096,11008,fp8,blockwise,PASS,1.29,1146.34,3.21,919.11
13,ROCm,MI355X,Llama-2-70B,1,4096,10240,8192,fp8,blockwise,PASS,0.52,1328.77,1.44,953.43
14,ROCm,MI355X,Llama-2-70B,1,4096,8192,8192,fp8,blockwise,PASS,0.41,1331.30,1.16,950.57
15,ROCm,MI355X,Llama-2-70B,1,4096,57344,8192,fp8,blockwise,PASS,3.07,1254.26,7.65,1005.99
