TestID,Platform,GPU,Batch,SeqLen,num_head_q,num_head_kv,head_dim_qk,head_dim_v,Causal,Deterministic,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
56,ROCm,MI300X,2,8192,64,8,128,128,True,False,PASS,10.92,201.38,36.01,152.68
57,ROCm,MI300X,4,8192,64,8,128,128,True,False,PASS,21.67,202.98,71.87,152.99
58,ROCm,MI300X,1,4096,32,8,128,128,True,False,PASS,1.12,122.23,2.45,140.48
59,ROCm,MI300X,2,4096,32,8,128,128,True,False,PASS,1.80,152.84,4.94,139.21
60,ROCm,MI300X,4,4096,32,8,128,128,True,False,PASS,3.44,159.96,9.60,143.13
61,ROCm,MI300X,1,4096,128,128,192,128,True,False,PASS,5.46,125.92,13.58,126.49
62,ROCm,MI300X,2,4096,128,128,192,128,True,False,PASS,10.63,129.34,28.12,122.18
63,ROCm,MI300X,4,4096,128,128,192,128,True,False,PASS,21.39,128.53,58.28,117.91
64,ROCm,MI300X,1,4096,16,16,192,128,True,False,PASS,1.11,77.73,1.75,122.79
65,ROCm,MI300X,2,4096,16,16,192,128,True,False,PASS,1.53,112.27,3.42,125.44
66,ROCm,MI300X,4,4096,16,16,192,128,True,False,PASS,2.79,123.21,6.72,127.81
67,ROCm,MI300X,1,8192,32,4,64,64,True,False,PASS,2.03,135.47,8.29,82.88
68,ROCm,MI300X,2,8192,32,4,64,64,True,False,PASS,3.77,145.88,12.83,107.16
69,ROCm,MI300X,4,8192,32,4,64,64,True,False,PASS,7.37,149.20,24.10,114.07
70,ROCm,MI300X,1,8192,64,4,64,64,True,False,PASS,3.83,143.68,16.15,85.11
71,ROCm,MI300X,2,8192,64,4,64,64,True,False,PASS,7.29,150.76,24.95,110.16
72,ROCm,MI300X,4,8192,64,4,64,64,True,False,PASS,14.02,156.84,48.09,114.31
73,ROCm,MI300X,1,8192,48,8,128,128,True,False,PASS,4.39,187.77,14.17,145.44
74,ROCm,MI300X,2,8192,48,8,128,128,True,False,PASS,8.29,198.85,27.36,150.71
75,ROCm,MI300X,4,8192,48,8,128,128,True,False,PASS,16.30,202.36,54.73,150.67
76,ROCm,MI300X,1,4096,64,64,192,128,True,False,PASS,2.83,121.27,6.72,127.77
77,ROCm,MI300X,2,4096,64,64,192,128,True,False,PASS,5.31,129.50,13.61,126.22
78,ROCm,MI300X,4,4096,64,64,192,128,True,False,PASS,10.68,128.71,28.19,121.90
